last_season,current_club_id,country_of_citizenship,sub_position,foot,height_in_cm,agent_name,current_club_domestic_competition_id,highest_market_value_in_eur,valor_real,edad,contrato_restante,convocado,tempo_2018_titu,tempo_2019_titu,tempo_2020_titu,tempo_2021_titu,tempo_2022_titu,tempo_2023_titu,tempo_2024_titu,capitanias,temporada_2018_g,temporada_2019_g,temporada_2020_g,temporada_2021_g,temporada_2022_g,temporada_2023_g,temporada_2024_g,goles,asistencias,cambios,amarillas,club_id,stadium_seats,temporada_2018_a,temporada_2019_a,temporada_2020_a,temporada_2021_a,temporada_2022_a,temporada_2023_a,temporada_2024_a,jerarquia_rondas_CL,jerarquia_rondas_EL,jugador_ofensivo,efectividad
2018,79,Germany,Centre-Forward,right,189.0,fair-sport GmbH,L1,42000000.0,993527.7217453285,32.0,,53.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,8.0,,79,60449,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1,0.3584905660377358
2021,430,Italy,Goalkeeper,right,195.0,World Soccer Agency,IT1,2800000.0,120168.14311929313,37.0,,156.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,430,43147,,,,,,,,,,0,
2020,1003,Austria,Left-Back,left,187.0,YOU FIRST,GB1,7500000.0,481571.13284221967,33.0,,113.0,10.0,6.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,,1003,32259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.017699115044247787
2020,12,Italy,Goalkeeper,right,186.0,,IT1,200000.0,60196.39160527746,36.0,,20.0,,,,,,,,,,,,,,,,,,,,12,70634,,,,,,,,,,0,
2021,6574,Italy,Defensive Midfield,right,181.0,TMP SOCCER srl ,IT1,3000000.0,480672.57247717254,36.0,,158.0,25.0,22.0,7.0,8.0,1.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,16.0,2.0,6574,21584,,,,,,,,,,0,
2019,19,Italy,Centre-Back,right,187.0,,IT1,5500000.0,366383.79528392514,35.0,,39.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,3.0,,19,19550,,,,,,,,,,0,
2018,8970,Italy,Central Midfield,right,181.0,,IT1,6500000.0,93143.22391362455,34.0,,23.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,8970,16227,,,,,,,,,,0,
2018,506,Italy,Centre-Back,right,187.0,,IT1,14500000.0,1241909.6521816605,36.0,,53.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,506,41507,,,,,,,,,,0,
2024,15,Germany,Attacking Midfield,right,176.0,Dr. Marco Gutfleisch,L1,16000000.0,3065549.222087411,31.0,3.0,185.0,23.0,17.0,25.0,33.0,26.0,17.0,6.0,3.0,6.0,0.0,9.0,11.0,12.0,14.0,3.0,55.0,59.0,74.0,,15,30210,10.0,3.0,8.0,8.0,12.0,13.0,5.0,,,1,0.6162162162162163
2018,366,Spain,Defensive Midfield,right,189.0,,ES1,3000000.0,124190.96521816606,36.0,,26.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,3.0,1.0,366,27618,,,,,,,,,,0,
2022,150,Spain,Right Winger,right,181.0,Juzzt Football,ES1,28000000.0,1758789.762293722,40.0,,221.0,24.0,24.0,23.0,14.0,10.0,4.0,0.0,97.0,3.0,11.0,4.0,4.0,1.0,0.0,0.0,23.0,24.0,73.0,1.0,150,60721,7.0,4.0,3.0,7.0,2.0,1.0,0.0,,,1,0.21266968325791855
2020,2687,Spain,Goalkeeper,,190.0,,ES1,1000000.0,120392.78321055492,40.0,,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,2687,21094,,,,,,,,,,0,
2024,1047,Spain,Goalkeeper,right,188.0,Manuel García Quilón,IT1,22000000.0,613109.8444174823,41.0,1.0,240.0,27.0,5.0,26.0,38.0,7.0,22.0,2.0,,,,,,,,,,1.0,,3.0,1047,13602,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0,
2018,12321,Spain,Goalkeeper,right,191.0,,ES1,5000000.0,248381.93043633213,36.0,,47.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,12321,14624,,,,,,,,,,0,
2018,714,Spain,Centre-Forward,right,174.0,,ES1,9000000.0,1241909.6521816605,34.0,,47.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,,714,40500,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.19148936170212766
2019,44,Cote d'Ivoire,Left Winger,right,184.0,Juzzt Football,L1,15000000.0,183191.89764196257,33.0,,70.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,20.0,,44,74667,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1,0.3
